NO.,시설구분,단말번호,관측소코드,위도,경도,고도,주소,설치층수,건물전체층수,제조사,연결상태,축보정,설치시점,수신시간,등록순번,시설구분세부,H3 Cell,Same_H3_Count,H3_Category,센서 품질,Sensor_Replacement_Status,통신품질기준,Communication_Quality_Status,Image_Link_1,Image_Link_2
25,SKM,01227579483,DDK02,35.8794,128.3991,23.08,대구 달성군 하빈면 하목정길 32,2,3,우리넷,normal,0,20년1월,2024.09.30 08:57:58,229,SKT1,8530c567fffffff,17,양호,10,교체불필요,-,,,
26,SKM,01227579562,DJG02,35.8704,128.5915,41.25,대구 중구 국채보상로 554-1,8,8,우리넷,normal,45,20년1월,2024.09.30 08:57:58,271,SKT1,8530c193fffffff,81,초과밀,9,교체불필요,-,,,
27,FSM,01227579575,YDK0H,36.5424,129.3956,8.8,경북 영덕군 영해면 창수영해로 481,1,3,우리넷,normal,45,21년8월,2024.09.30 08:57:58,6404,소방청,8530ea33fffffff,6,양호,10,교체불필요,-,,,
28,FSM,01227586516,CHA2K,35.3528,128.611,5.76,경남 창원시 의창구 북면 천주로1150번길 15-22,1,3,우리넷,disc.,45,21년8월,0,5291,소방청,-,,,,,-,,,
29,SKM,01227586650,GGG04,35.2188,126.8424,29.95,광주 광산구 첨단중앙로 152,6,8,우리넷,normal,0,20년1월,2024.09.30 08:57:58,385,SKT1,8530c6affffffff,54,초과밀,10,교체불필요,-,,,
30,SKM,01227586971,HWS02,34.9465,126.976,64.9,전남 화순군 춘양면 우봉리 430,1,1,우리넷,normal,0,20년1월,2024.09.30 08:57:58,1322,SKT2,8530c62ffffffff,2,부족,9,교체불필요,-,,,
31,SKM,01227587014,WAS0H,35.3153,129.0044,3.72,경남 양산시 물금읍 새실로 159,1,4,우리넷,disc.,0,20년5월,2022.08.05 19:36:23,3063,대리점,-,,,,,-,,,
32,SKM,01227587024,DPG08,35.9026,128.6137,41.87,대구 북구 대불로 23,2,3,우리넷,normal,0,20년1월,2024.09.30 08:57:58,1881,SKT2,8530c193fffffff,81,초과밀,5,교체검토,-,,,
33,SKM,01227587025,DJG05,35.8702,128.6039,39.99,대구 중구 동덕로 173,8,8,우리넷,normal,0,20년1월,2024.09.30 08:57:58,274,SKT1,8530c193fffffff,81,초과밀,10,교체불필요,-,,,
34,SKM,01227587028,MOK03,34.8013,126.4287,7.81,전남 목포시 하당남부로51번길 19,4,6,우리넷,normal,0,20년1월,2024.09.30 08:57:58,963,SKT1,8530c647fffffff,24,과밀,7,교체불필요,-,,,
35,SKM,01227587031,YUS04,34.7347,127.7255,2.95,전남 여수시 대교로 42-1,1,2,우리넷,normal,45,20년1월,2024.09.30 08:57:58,405,SKT2,8530c2a7fffffff,29,과밀,10,교체불필요,-,,,
36,SKM,01227587041,PJG07,35.1028,129.0277,19.2,부산 중구 대청로 72,1,3,우리넷,disc.,0,20년5월,2023.03.14 09:07:58,3123,대리점,-,,,,,-,,,
37,SKM,01227587062,KYU0E,35.7115,129.3193,75.78,경북 경주시 외동읍 순금2길 11,1,2,우리넷,normal,0,20년1월,2024.09.30 08:57:58,1571,SKT1,8530c1affffffff,6,양호,8,교체불필요,-,,,
